date,messages
1/1/2022,3696
1/2/2022,4881
1/3/2022,4706
1/4/2022,4348
1/5/2022,4319
1/6/2022,4435
1/7/2022,4852
1/8/2022,4276
1/9/2022,3787
1/10/2022,2998
1/11/2022,3094
1/12/2022,2795
1/13/2022,4338
1/14/2022,3260
1/15/2022,5187
1/16/2022,4496
1/17/2022,2491
1/18/2022,2653
1/19/2022,1670
1/20/2022,1650
1/21/2022,2231
1/22/2022,4222
1/23/2022,3503
1/24/2022,1748
1/25/2022,1692
1/26/2022,2513
1/27/2022,3293
1/28/2022,2150
1/29/2022,3562
1/30/2022,3065
1/31/2022,2138
2/1/2022,2109
2/2/2022,1817
2/3/2022,3760
2/4/2022,2435
2/5/2022,4111
2/6/2022,2630
2/7/2022,4214
2/8/2022,2000
2/9/2022,1693
2/10/2022,1535
2/11/2022,1630
2/12/2022,973
2/13/2022,1486
2/14/2022,2766
2/15/2022,2182
2/16/2022,4011
2/17/2022,3515
2/18/2022,2934
2/19/2022,2088
2/20/2022,2423
2/21/2022,1875
2/22/2022,1925
2/23/2022,1315
2/24/2022,1433
2/25/2022,1752
2/26/2022,2358
2/27/2022,2476
2/28/2022,1734
3/1/2022,3935
3/2/2022,3104
3/3/2022,2151
3/4/2022,1848
3/5/2022,1322
3/6/2022,2756
3/7/2022,3407
3/8/2022,1706
3/9/2022,1282
3/10/2022,2969
3/11/2022,1531
3/12/2022,1767
3/13/2022,2084
3/14/2022,1747
3/15/2022,1206
3/16/2022,2451
3/17/2022,1590
3/18/2022,3023
3/19/2022,3903
3/20/2022,2882
3/21/2022,2595
3/22/2022,2923
3/23/2022,5488
3/24/2022,5088
3/25/2022,2975
3/26/2022,2467
3/27/2022,8772
3/28/2022,5710
3/29/2022,4761
3/30/2022,4504
3/31/2022,5946
4/1/2022,7557
4/2/2022,4131
4/3/2022,4000
4/4/2022,2344
4/5/2022,2804
4/6/2022,3351
4/7/2022,2001
4/8/2022,2901
4/9/2022,1673
4/10/2022,1569
4/11/2022,6446
4/12/2022,3754
4/13/2022,4279
4/14/2022,4773
4/15/2022,2601
4/16/2022,3099
4/17/2022,4525
4/18/2022,3244
4/19/2022,6100
4/20/2022,4883
4/21/2022,6226
4/22/2022,5314
4/23/2022,7392
4/24/2022,4820
4/25/2022,4672
4/26/2022,4614
4/27/2022,7658
4/28/2022,3380
4/29/2022,6737
4/30/2022,4955
5/1/2022,4504
5/2/2022,4697
5/3/2022,4160
5/4/2022,6098
5/5/2022,7008
5/6/2022,4151
5/7/2022,5978
5/8/2022,7959
5/9/2022,6753
5/10/2022,8413
5/11/2022,10825
5/12/2022,11107
5/13/2022,8144
5/14/2022,8445
5/15/2022,10521
5/16/2022,8393
5/17/2022,7972
5/18/2022,8282
5/19/2022,8131
5/20/2022,6962
5/21/2022,8631
5/22/2022,9171
5/23/2022,11797
5/24/2022,11187
5/25/2022,11494
5/26/2022,12496
5/27/2022,8287
5/28/2022,9651
5/29/2022,10389
5/30/2022,14041
5/31/2022,15411
6/1/2022,15706
6/2/2022,12421
6/3/2022,13455
6/4/2022,7496
6/5/2022,10660
6/6/2022,7791
6/7/2022,10455
6/8/2022,9105
6/9/2022,11176
6/10/2022,12995
6/11/2022,11134
6/12/2022,15127
6/13/2022,13652
6/14/2022,14556
6/15/2022,12299
6/16/2022,21374
6/17/2022,15159
6/18/2022,15382
6/19/2022,10718
6/20/2022,12045
6/21/2022,13486
6/22/2022,14200
6/23/2022,13110
6/24/2022,16950
6/25/2022,14817
6/26/2022,13594
6/27/2022,14270
6/28/2022,16304
6/29/2022,10434
6/30/2022,16600
7/1/2022,13968
7/2/2022,13671
7/3/2022,10043
7/4/2022,10694
7/5/2022,13965
7/6/2022,19108
7/7/2022,17055
7/8/2022,18284
7/9/2022,14950
7/10/2022,13596
7/11/2022,11319
7/12/2022,11517
7/13/2022,8981
7/14/2022,14884
7/15/2022,13497
7/16/2022,14103
7/17/2022,14947
7/18/2022,12811
7/19/2022,11264
7/20/2022,10584
7/21/2022,11859
7/22/2022,13000
7/23/2022,17229
7/24/2022,10027
7/25/2022,8898
7/26/2022,7043
7/27/2022,8195
7/28/2022,7848
7/29/2022,6120
7/30/2022,7235
7/31/2022,5452
8/1/2022,4634
8/2/2022,6526
8/3/2022,5385
8/4/2022,5189
8/5/2022,4231
8/6/2022,2680
8/7/2022,3627
8/8/2022,4727
8/9/2022,3576
8/10/2022,3320
8/11/2022,4144
8/12/2022,3055
8/13/2022,3032
8/14/2022,4757
8/15/2022,3739
8/16/2022,1670
8/17/2022,2716
8/18/2022,3299
8/19/2022,4067
8/20/2022,2965
8/21/2022,3513
8/22/2022,5143
8/23/2022,4022
8/24/2022,3100
8/25/2022,2006
8/26/2022,2887
8/27/2022,3000
8/28/2022,2185
8/29/2022,2146
8/30/2022,1877
8/31/2022,2739
