date,messages
7/27/2018,369
7/28/2018,8933
7/29/2018,13660
7/30/2018,8819
7/31/2018,9066
8/1/2018,9640
8/2/2018,8158
8/3/2018,6961
8/4/2018,9024
8/5/2018,5819
8/6/2018,8108
8/7/2018,9375
8/8/2018,8833
8/9/2018,10443
8/10/2018,9265
8/11/2018,4191
8/12/2018,5235
8/13/2018,5994
8/14/2018,8634
8/15/2018,8483
8/16/2018,11080
8/17/2018,12077
8/18/2018,12721
8/19/2018,11456
8/20/2018,11510
8/21/2018,11478
8/22/2018,9970
8/23/2018,9544
8/24/2018,10496
8/25/2018,11916
8/26/2018,10580
8/27/2018,8717
8/28/2018,9415
8/29/2018,9123
8/30/2018,16136
8/31/2018,12752
9/1/2018,10350
9/2/2018,13405
9/3/2018,11854
9/4/2018,10806
9/5/2018,9457
9/6/2018,12153
9/7/2018,10564
9/8/2018,13643
9/9/2018,10284
9/10/2018,10157
9/11/2018,9756
9/12/2018,6903
9/13/2018,8314
9/14/2018,10877
9/15/2018,11544
9/16/2018,9211
9/17/2018,6721
9/18/2018,9004
9/19/2018,9743
9/20/2018,9942
9/21/2018,10767
9/22/2018,10056
9/23/2018,11565
9/24/2018,9405
9/25/2018,9235
9/26/2018,9676
9/27/2018,8891
9/28/2018,10887
9/29/2018,12183
9/30/2018,8789
10/1/2018,8109
10/2/2018,9163
10/3/2018,10614
10/4/2018,11212
10/5/2018,12175
10/6/2018,10592
10/7/2018,9662
10/8/2018,9359
10/9/2018,9103
10/10/2018,10608
10/11/2018,12003
10/12/2018,12126
10/13/2018,11669
10/14/2018,12149
10/15/2018,11548
10/16/2018,8511
10/17/2018,9356
10/18/2018,11237
10/19/2018,14779
10/20/2018,12930
10/21/2018,13789
10/22/2018,13280
10/23/2018,12440
10/24/2018,13449
10/25/2018,13561
10/26/2018,14326
10/27/2018,14205
10/28/2018,11841
10/29/2018,13324
10/30/2018,10948
10/31/2018,11650
11/1/2018,14845
11/2/2018,14566
11/3/2018,14742
11/4/2018,14678
11/5/2018,11210
11/6/2018,11545
11/7/2018,12551
11/8/2018,11986
11/9/2018,15226
11/10/2018,13481
11/11/2018,15271
11/12/2018,12700
11/13/2018,13053
11/14/2018,12340
11/15/2018,12086
11/16/2018,11082
11/17/2018,14693
11/18/2018,17241
11/19/2018,15954
11/20/2018,14216
11/21/2018,16552
11/22/2018,11322
11/23/2018,18499
11/24/2018,17318
11/25/2018,12987
11/26/2018,11715
11/27/2018,11359
11/28/2018,11149
11/29/2018,12745
11/30/2018,11039
12/1/2018,13475
12/2/2018,10319
12/3/2018,10961
12/4/2018,11598
12/5/2018,13014
12/6/2018,13782
12/7/2018,14945
12/8/2018,14735
12/9/2018,14178
12/10/2018,13414
12/11/2018,16829
12/12/2018,14195
12/13/2018,13675
12/14/2018,14054
12/15/2018,11991
12/16/2018,15028
12/17/2018,14568
12/18/2018,15972
12/19/2018,15133
12/20/2018,16122
12/21/2018,14659
12/22/2018,10904
12/23/2018,11820
12/24/2018,10069
12/25/2018,11519
12/26/2018,10943
12/27/2018,14193
12/28/2018,9748
12/29/2018,6869
12/30/2018,9562
12/31/2018,7401
1/1/2019,8250
1/2/2019,6846
1/3/2019,8105
1/4/2019,8318
1/5/2019,7675
1/6/2019,8842
1/7/2019,8201
1/8/2019,10340
1/9/2019,11707
1/10/2019,9019
1/11/2019,13611
1/12/2019,14902
1/13/2019,11671
1/14/2019,6179
1/15/2019,6454
1/16/2019,6866
1/17/2019,9328
1/18/2019,9403
1/19/2019,7165
1/20/2019,12865
1/21/2019,8288
1/22/2019,9871
1/23/2019,7376
1/24/2019,9619
1/25/2019,6092
1/26/2019,6187
1/27/2019,6495
1/28/2019,6237
1/29/2019,5612
1/30/2019,7726
1/31/2019,6396
2/1/2019,9746
2/2/2019,5344
2/3/2019,6561
2/4/2019,4327
2/5/2019,4042
2/6/2019,4384
2/7/2019,8286
2/8/2019,4251
2/9/2019,4439
2/10/2019,4006
2/11/2019,3414
2/12/2019,4266
2/13/2019,5116
2/14/2019,5730
2/15/2019,5591
2/16/2019,8281
2/17/2019,9457
2/18/2019,5810
2/19/2019,4790
2/20/2019,6144
2/21/2019,5161
2/22/2019,5470
2/23/2019,7709
2/24/2019,7866
2/25/2019,4274
2/26/2019,6613
2/27/2019,5162
2/28/2019,5765
3/1/2019,3908
3/2/2019,3430
3/3/2019,2620
3/4/2019,2751
3/5/2019,2988
3/6/2019,4380
3/7/2019,4214
3/8/2019,3687
3/9/2019,5267
3/10/2019,4960
3/11/2019,5422
3/12/2019,4821
3/13/2019,3820
3/14/2019,5261
3/15/2019,4242
3/16/2019,4967
3/17/2019,4557
3/18/2019,4138
3/19/2019,2361
3/20/2019,3140
3/21/2019,3247
3/22/2019,2715
3/23/2019,2658
3/24/2019,3130
3/25/2019,2366
3/26/2019,3943
3/27/2019,2947
3/28/2019,3356
3/29/2019,2102
3/30/2019,1783
3/31/2019,3581
4/1/2019,2143
4/2/2019,2265
4/3/2019,4098
4/4/2019,2627
4/5/2019,2529
4/6/2019,3548
4/7/2019,4542
4/8/2019,3044
4/9/2019,4704
4/10/2019,2433
4/11/2019,3641
4/12/2019,2106
4/13/2019,2952
4/14/2019,6836
4/15/2019,2943
4/16/2019,4954
4/17/2019,4499
4/18/2019,3803
4/19/2019,2905
4/20/2019,2923
4/21/2019,3691
4/22/2019,4226
4/23/2019,4156
4/24/2019,3382
4/25/2019,3267
4/26/2019,4009
4/27/2019,3739
4/28/2019,3966
4/29/2019,3322
4/30/2019,2453
5/1/2019,2416
5/2/2019,2388
5/3/2019,2311
5/4/2019,2583
5/5/2019,3662
5/6/2019,3360
5/7/2019,1893
5/8/2019,2615
5/9/2019,2615
5/10/2019,2760
5/11/2019,4847
5/12/2019,3939
5/13/2019,2852
5/14/2019,2927
5/15/2019,4159
5/16/2019,3872
5/17/2019,2822
5/18/2019,3183
5/19/2019,4385
5/20/2019,4169
5/21/2019,2017
5/22/2019,2918
5/23/2019,2559
5/24/2019,5388
5/25/2019,1954
5/26/2019,5861
5/27/2019,3246
5/28/2019,3874
5/29/2019,6203
5/30/2019,4551
5/31/2019,4533
6/1/2019,4903
6/2/2019,4651
6/3/2019,4807
6/4/2019,5289
6/5/2019,6040
6/6/2019,3397
6/7/2019,4308
6/8/2019,3037
6/9/2019,4175
6/10/2019,3851
6/11/2019,3856
6/12/2019,3829
6/13/2019,4078
6/14/2019,4962
6/15/2019,3348
6/16/2019,4119
6/17/2019,3567
6/18/2019,2520
6/19/2019,2008
6/20/2019,2283
6/21/2019,2026
6/22/2019,1425
6/23/2019,2872
6/24/2019,4450
6/25/2019,4473
6/26/2019,3959
6/27/2019,4483
6/28/2019,3200
6/29/2019,3057
6/30/2019,3608
7/1/2019,2746
7/2/2019,1694
7/3/2019,4471
7/4/2019,3818
7/5/2019,3967
7/6/2019,2501
7/7/2019,2633
7/8/2019,2345
7/9/2019,2820
7/10/2019,3833
7/11/2019,4149
7/12/2019,7375
7/13/2019,2691
7/14/2019,3269
7/15/2019,3890
7/16/2019,6721
7/17/2019,5138
7/18/2019,3875
7/19/2019,6323
7/20/2019,4460
7/21/2019,3834
7/22/2019,3435
7/23/2019,4096
7/24/2019,3880
7/25/2019,3522
7/26/2019,2603
7/27/2019,3389
7/28/2019,3827
7/29/2019,2675
7/30/2019,2684
7/31/2019,3354
8/1/2019,4276
8/2/2019,3731
8/3/2019,4839
8/4/2019,2546
8/5/2019,3414
8/6/2019,2836
8/7/2019,4173
8/8/2019,4432
8/9/2019,1914
8/10/2019,2778
8/11/2019,3973
8/12/2019,2198
8/13/2019,2019
8/14/2019,3557
8/15/2019,2128
8/16/2019,4464
8/17/2019,4596
8/18/2019,5039
8/19/2019,10978
8/20/2019,8180
8/21/2019,8384
8/22/2019,9041
8/23/2019,8031
8/24/2019,7666
8/25/2019,6173
8/26/2019,8142
8/27/2019,6037
8/28/2019,7123
8/29/2019,6443
8/30/2019,7200
8/31/2019,7516
9/1/2019,9629
9/2/2019,8564
9/3/2019,4941
9/4/2019,4405
9/5/2019,5215
9/6/2019,5034
9/7/2019,5877
9/8/2019,6643
9/9/2019,9565
9/10/2019,7959
9/11/2019,8125
9/12/2019,7752
9/13/2019,8111
9/14/2019,10521
9/15/2019,8750
9/16/2019,9256
9/17/2019,10320
9/18/2019,7681
9/19/2019,7407
9/20/2019,9563
9/21/2019,10021
9/22/2019,8528
9/23/2019,8333
9/24/2019,7605
9/25/2019,6799
9/26/2019,6240
9/27/2019,5920
9/28/2019,8116
9/29/2019,7052
9/30/2019,5626
10/1/2019,8885
10/2/2019,6730
10/3/2019,5682
10/4/2019,5340
10/5/2019,5924
10/6/2019,4365
10/7/2019,5109
10/8/2019,6376
10/9/2019,5876
10/10/2019,5316
10/11/2019,7512
10/12/2019,7017
10/13/2019,6159
10/14/2019,6285
10/15/2019,6258
10/16/2019,6443
10/17/2019,6457
10/18/2019,8138
10/19/2019,6954
10/20/2019,4790
10/21/2019,5838
10/22/2019,5575
10/23/2019,6413
10/24/2019,7604
10/25/2019,6534
10/26/2019,5120
10/27/2019,6210
10/28/2019,7051
10/29/2019,4817
10/30/2019,5172
10/31/2019,5107
11/1/2019,9342
11/2/2019,7274
11/3/2019,5350
11/4/2019,8412
11/5/2019,5327
11/6/2019,7036
11/7/2019,8914
11/8/2019,4753
11/9/2019,8776
11/10/2019,6890
11/11/2019,6159
11/12/2019,6062
11/13/2019,3799
11/14/2019,4044
11/15/2019,4958
11/16/2019,6803
11/17/2019,6437
11/18/2019,4139
11/19/2019,6615
11/20/2019,5169
11/21/2019,5196
11/22/2019,5177
11/23/2019,3561
11/24/2019,5543
11/25/2019,7955
11/26/2019,7088
11/27/2019,5409
11/28/2019,4246
11/29/2019,7009
11/30/2019,5790
12/1/2019,9631
12/2/2019,7884
12/3/2019,9615
12/4/2019,12694
12/5/2019,14329
12/6/2019,8663
12/7/2019,4166
12/8/2019,8749
12/9/2019,2358
12/10/2019,5870
12/11/2019,4784
12/12/2019,6190
12/13/2019,4643
12/14/2019,3630
12/15/2019,4706
12/16/2019,4618
12/17/2019,4637
12/18/2019,5882
12/19/2019,7059
12/20/2019,4493
12/21/2019,3844
12/22/2019,5135
12/23/2019,6514
12/24/2019,7367
12/25/2019,6427
12/26/2019,6341
12/27/2019,2418
12/28/2019,4401
12/29/2019,4412
12/30/2019,3449
12/31/2019,6828
1/1/2020,3738
1/2/2020,3652
1/3/2020,3833
1/4/2020,2724
1/5/2020,2744
1/6/2020,3765
1/7/2020,3152
1/8/2020,5822
1/9/2020,5838
1/10/2020,4517
1/11/2020,4923
1/12/2020,5192
1/13/2020,5893
1/14/2020,4650
1/15/2020,4195
1/16/2020,7872
1/17/2020,3891
1/18/2020,3598
1/19/2020,4259
1/20/2020,2686
1/21/2020,4737
1/22/2020,3365
1/23/2020,3934
1/24/2020,3670
1/25/2020,3639
1/26/2020,2963
1/27/2020,6209
1/28/2020,3803
1/29/2020,4029
1/30/2020,3749
1/31/2020,5044
2/1/2020,3657
2/2/2020,5609
2/3/2020,4363
2/4/2020,4818
2/5/2020,4330
2/6/2020,2321
2/7/2020,2540
2/8/2020,3336
2/9/2020,2467
2/10/2020,3099
2/11/2020,4045
2/12/2020,3915
2/13/2020,5379
2/14/2020,4597
2/15/2020,5802
2/16/2020,5258
2/17/2020,5206
2/18/2020,4030
2/19/2020,4786
2/20/2020,11273
2/21/2020,9494
2/22/2020,8812
2/23/2020,10927
2/24/2020,14183
2/25/2020,10978
2/26/2020,8375
2/27/2020,9089
2/28/2020,9115
2/29/2020,8011
3/1/2020,11813
3/2/2020,11776
